date,avg_sentiment_score,open,high,low,close,volume,price_change,Bearish,Bullish,Neutral
2024-11-23,0.5045685768127441,99006.7421875,99014.6796875,97232.890625,97777.28125,44414644677.0,-1229.4609375,0,1,0
2024-11-21,0.5053916573524475,94334.640625,99014.21875,94132.6015625,98504.7265625,106024505582.0,4170.0859375,0,0,1
2024-11-18,0.7945932149887085,89843.71875,92596.7890625,89393.59375,90542.640625,75535775084.0,698.921875,0,0,1
2024-11-15,0.7133775353431702,87284.1796875,91868.7421875,87124.8984375,91066.0078125,78243109518.0,3781.828125,0,0,1
2024-11-12,0.7880380153656006,88705.5625,89956.8828125,85155.109375,87955.8125,133673285375.0,-749.75,0,1,0
2024-11-11,0.7653548717498779,80471.4140625,89604.5,80283.25,88701.484375,117966845037.0,8230.0703125,0,1,0
2024-11-08,0.5369491577148438,75902.8359375,77252.75,75648.7421875,76545.4765625,55176858003.0,642.640625,0,0,1
2024-11-06,0.856995701789856,69358.5,76460.15625,69322.03125,75639.078125,118592653963.0,6280.578125,0,0,1
2024-11-04,0.7595543265342712,68742.1328125,69433.1796875,66803.6484375,67811.5078125,41184819348.0,-930.625,0,1,0
2024-10-31,0.6423723697662354,72335.046875,72662.3125,69590.5,70215.1875,40627912076.0,-2119.859375,0,0,1
